s_1_1;s_218_1;s_219_1;s_2_1;s_3;s_4;s_5;s_6;s_7;s_8;s_19;s_23;s_191_1;s_191_2;s_191_3;s_191_4;s_191_5;s_84;s_85;s_86;s_87;s_173;s_192;s_227;s_228;s_229;s_230;s_231;s_232;s_233;s_234;s_235;s_236;s_284;s_285;s_286;s_287;s_288;s_336;s_337;s_338;s_339;s_340;s_341;s_342;s_343;s_111;s_391;s_392;s_393;s_394;s_395;s_396;s_397;s_398;s_399;s_401;s_410;s_421;s_427;s_436;s_446;s_460;s_461;s_112;s_200;s_217;s_204;s_205;s_206;s_207;s_208;s_209;s_210;s_211;s_216;s_143;s_144;s_145;s_146;s_147;s_148;s_149;lang;stato_1;stato_2;stato_3;stato_4;stato_5
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;26;Colombia;8;2;4;38;5;1;1;1;0;1;2;3;5;4;1;1;5;2;3;2;1;4;3;4;1;1;5;4;6;4;2;;;;;;;;;;4;4;4;2;4;5;1;3;4;6;5;6;4;4;6;5;5;ha bajado mi tolerancia a las herramientas tecnológicas y la red artificial hasta al punto de no soportar usarlas, mi irritabilidad en general tambien ha aumentado y siento depresion;1;1;3;;4;;3;;4;;;2;3;4;4;3;4;4;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
1;1;1;1;2;36;Thailand;5;1;3;20;2;1;1;1;0;1;3;3;2;3;1;1;6;6;6;3;3;4;6;2;4;4;6;4;5;4;3;;;;;;;;;;6;6;6;5;4;5;5;5;4;3;2;2;1;1;2;4;3;;2;2;;;;;;;;;;2;2;1;1;1;1;1;7;0;0;0;1;0
1;1;1;1;2;39;Thailand;;;;;;1;1;0;0;1;2;2;2;2;3;2;2;2;4;2;3;5;2;3;3;5;;;;;;;;;;;;;;;5;5;5;2;5;5;1;4;5;3;7;7;7;7;7;5;4;;2;2;;;;;;;;;;2;4;2;1;2;1;2;7;0;0;0;1;0
1;1;1;1;2;33;Colombia;4;1;1;36;1;1;1;1;0;1;6;5;1;6;2;1;6;5;5;2;5;5;4;5;3;1;7;7;5;1;1;;;;;;;;;;5;6;5;4;1;1;1;1;1;6;1;4;1;1;5;5;1;Durante el periodo de aislamiento durante el día lo he tenido que pasar sola pues mi esposo trabaja y no llega hasta la noche, me ha ayudado demasiado a estar tranquila, concentrada el poder orar, leer la Biblia y hacer un curso online, adicional a las ayudas tecnológicas ya mencionadas.;1;2;;;3;;;;;;;1;1;2;1;1;1;2;3;0;0;0;1;0
1;1;1;1;2;22;Colombia;8;2;4;33;4;1;1;0;0;1;5;5;3;4;3;1;6;5;5;5;4;1;6;3;2;1;;;;;;;;;;;;;;;6;5;5;4;4;4;1;4;3;2;6;6;3;1;5;5;4;;1;1;3;Porque es interesante abordar la situación social que nos rodea con un poco de humor;3;;3;;5;;;2;2;2;2;2;3;3;3;0;0;0;1;0
1;1;1;1;1;43;Thailand;5;1;2;30;1;1;1;1;0;1;4;4;4;5;4;2;4;5;5;2;2;6;3;4;2;1;3;3;5;3;2;;;;;;;;;;3;5;5;3;4;5;3;3;3;2;3;3;5;1;6;6;2;;2;2;;;;;;;;;;1;4;1;1;1;1;2;7;0;0;0;1;0
1;1;1;1;2;66;Colombia;4;2;2;36;4;1;1;1;0;1;4;4;2;5;7;1;2;2;2;2;2;5;7;5;7;7;7;7;2;7;7;;;;;;;;;;4;1;1;7;7;1;1;7;7;1;3;4;4;1;1;4;1;;1;1;3;;2;;2;;4;;;2;2;2;2;2;2;2;3;0;0;0;1;0
1;1;1;1;1;31;Colombia;5;1;2;30;2;1;1;1;1;1;1;1;1;5;1;1;5;5;2;1;1;1;6;7;1;1;6;4;1;1;1;5;2;2;5;1;1;1;1;Mario kart;1;5;1;1;1;1;1;1;1;1;6;1;6;1;5;1;1;;1;1;4;Es el tema de moda;4;La gente es creativa y divertida;5;Algunos son muy buenos;5;Saca de la rutina;;1;1;1;1;1;2;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;33;Thailand;5;1;2;30;2;1;1;0;1;0;3;3;1;6;1;1;5;1;1;1;1;6;3;4;1;1;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;1;1;1;1;5;5;4;;2;2;;;;;;;;;;2;2;2;1;1;1;2;7;0;0;0;1;0
1;1;1;1;1;27;Norway;5;1;3;46;1;1;1;0;0;1;2;4;2;4;2;2;4;2;2;2;2;3;3;5;2;2;;;;;;;;;;;;;;;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Las preguntas están un poco mal orientadas;2;2;;;;;;;;;;1;1;1;1;1;1;1;3;0;0;0;1;0
1;1;1;1;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;1;30;Italy;8;2;1;46;4;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;21;Colombia;4;1;3;40;;1;1;0;0;1;2;2;2;2;2;2;6;5;5;1;5;2;6;5;5;3;;;;;;;;;;;;;;;6;6;5;5;2;3;1;6;6;2;7;7;7;7;7;4;6;;1;1;4;Para hacer humor sobre la situación;4;Porqué es divertido;4;Me hace reír;4;;;2;1;1;2;2;;3;3;0;0;0;1;0
1;1;1;1;2;32;Thailand;5;1;3;28;5;1;1;1;0;1;2;4;2;4;2;2;6;6;6;2;4;5;5;5;5;5;4;4;4;4;2;;;;;;;;;;6;3;6;3;5;5;2;2;5;3;5;3;2;2;4;6;3;;1;1;3;???????????????????????????????????????????????????????;3;???????????????????;3;????????????????????????????????????;3;???????????????????????;;2;3;2;2;2;2;3;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;23;Colombia;4;2;;29;2;1;1;1;0;1;6;6;6;5;1;1;6;5;5;1;1;6;1;6;1;1;1;7;7;1;1;;;;;;;;;;6;6;5;1;6;1;1;1;1;1;2;5;1;1;1;6;1;;1;2;;;5;;;;;;;1;2;2;1;1;1;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;21;Colombia;3;2;4;50;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;2;1;1;1;1;1;1;1;1;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1;1;1;1;7;1;1;7;1;7;1;Con los deberes que me exige la universidad por medio de esta modalidad virtual mi rutina no ha tenido gran cambio con respecto al uso de las tecnologías en mayor o menor medida;1;1;2;;3;;4;;4;;En mi caso el compartir memes referidos o no al Covid-19 no es con propósito alguno, simplemente si me apareció en mi inicio y me causó gracia lo comparto;1;1;2;1;1;1;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;34;Thailand;5;1;4;29;4;1;1;1;0;0;2;4;2;6;2;1;6;2;6;2;6;6;5;4;6;6;6;4;6;6;6;;;;;;;;;;;;;;;;;;;;2;5;2;2;5;4;5;;1;1;5;;5;;5;;4;;;3;2;4;4;2;3;1;7;0;0;0;1;0
1;1;1;1;2;25;Colombia;4;1;3;30;1;1;1;1;0;1;2;2;2;5;1;1;5;3;4;2;5;2;2;5;2;2;5;2;4;1;2;;;;;;;;;;5;2;5;3;2;2;1;2;1;1;5;2;2;1;4;5;2;;2;2;;;;;;;;;;2;1;1;1;1;2;1;3;0;0;0;1;0
1;1;1;1;1;18;colombia;8;1;1;29;4;1;1;1;1;1;4;4;2;3;7;1;6;6;6;6;6;5;1;3;1;5;6;6;6;6;5;6;6;6;6;6;4;6;6;lol, realm royale, smash;6;6;6;4;6;5;1;5;3;3;4;3;5;6;6;5;4;;1;1;2;;2;;2;;5;;;3;3;3;2;1;1;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
1;1;1;1;1;23;Colombia;3;1;3;63;2;1;1;1;1;1;2;6;4;5;1;1;5;4;3;5;1;5;1;6;1;1;4;5;1;1;1;4;4;4;1;1;1;1;1;Pokémon Go;4;5;1;1;2;1;1;1;1;1;1;1;1;1;1;6;1;;1;1;3;;3;;3;;4;En general comparto lo que me parece divertido.;;2;1;2;2;1;2;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;33;Thailand;8;1;4;35;4;1;1;1;0;0;2;3;2;5;1;1;2;2;4;2;2;6;2;4;1;1;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;1;1;1;1;4;4;2;;2;1;4;;;;3;;3;;;2;3;2;2;1;1;2;7;0;0;0;1;0
1;1;1;1;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;29;Colombia;5;1;1;27;2;1;1;1;1;1;3;4;2;4;2;2;5;5;4;5;5;4;5;3;2;2;3;5;2;2;2;7;7;7;7;7;7;7;7;;5;5;4;4;4;4;2;4;3;4;2;3;2;7;2;4;3;;1;1;3;;3;;3;;5;;;1;2;2;2;1;2;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;23;Mexico;5;2;4;35;4;1;1;1;1;1;5;5;6;5;2;1;5;5;6;2;5;6;6;6;2;2;5;5;5;2;1;5;6;2;5;2;6;2;1;Fighting   Adventures   LEGO (I don?t know which genre they are);5;5;5;2;5;1;1;2;1;6;2;1;2;4;2;5;4;No;1;2;;;5;To make it easier to cope with.;;;;;Mo;2;2;2;3;1;1;3;2;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;1;55;USA;5;1;1;46;5;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;22;Colombia;4;2;2;37;23;1;1;0;1;1;5;6;1;6;2;2;4;2;2;2;1;1;1;1;1;1;;;;;;1;1;1;1;6;1;1;1;Parchis;6;3;1;1;6;1;1;1;1;1;1;1;1;2;1;6;1;;1;1;2;;1;;1;;5;;;4;2;2;3;1;3;4;3;0;0;0;1;0
1;1;1;1;2;25;Colombia;4;1;3;39;3;1;1;1;1;1;5;6;5;6;1;1;5;2;6;5;6;2;6;5;4;2;4;2;2;1;1;1;2;1;1;3;2;1;1;Juegos de mesa;4;3;4;2;1;1;1;2;1;5;2;5;1;2;3;4;3;;2;1;1;;;;2;;1;;;2;2;1;2;1;2;2;3;0;0;0;1;0
1;1;1;1;1;22;peru;3;2;1;32;2;1;1;0;0;1;3;6;5;6;3;1;6;6;6;4;5;3;3;6;6;2;;;;;;;;;;;;;;;5;5;5;5;6;;1;2;2;3;1;2;3;4;5;5;5;;1;1;1;;2;;2;;4;;;2;;;1;1;1;4;3;0;0;0;1;0
1;1;1;1;2;22;Colombia;7;2;1;47;3;1;1;0;1;1;5;5;4;6;2;2;5;5;3;2;6;6;6;6;4;5;;;;;;3;2;2;3;5;6;3;2;Parchis;6;6;6;6;6;6;1;4;6;6;5;5;5;2;4;4;5;;1;1;5;Para estar más informado;5;Mirarlo desde otra perspectiva jocosa;5;;5;;;3;4;4;3;2;2;4;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;;Colombia;4;2;1;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;1;37;Colombia;5;1;1;31;;1;1;1;1;1;5;5;5;5;1;1;4;4;2;1;1;5;1;6;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;Family creation, muy sencillos ni siquiera se requieren de conectividad al internet, están descargados.;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Ninguno.;2;1;3;;;;3;;4;;Ninguno.;1;1;1;1;1;1;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;41;;3;2;4;29;24;1;0;0;0;0;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;2;1;1;;;;1;;1;;;1;1;1;1;1;1;1;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;44;Thailand;5;1;2;30;6;1;1;0;0;1;3;4;1;5;2;1;1;2;1;1;1;4;4;3;3;1;;;;;;;;;;;;;;;2;4;2;1;5;4;2;2;2;2;1;2;2;2;3;5;2;;2;2;;;;;;;;;;2;2;2;2;2;1;1;2;0;0;0;1;0
1;1;1;1;2;23;Thailand;5;2;2;40;3;1;1;0;0;1;4;4;4;6;2;2;6;5;4;5;2;2;4;2;2;2;;;;;;;;;;;;;;;5;2;5;2;4;4;2;2;2;2;2;5;5;2;5;5;2;?????????????????? ????????????????????????????????????????????? ????.??????????????????????????????? ???? ???????????- ???????;1;2;;;2;?????????;;;;;;2;4;2;2;1;2;1;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;24;Thailand;8;2;1;30;4;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
1;1;1;1;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
1;1;1;1;2;25;Colombia;4;2;1;30;3;1;1;0;0;1;2;2;2;5;2;1;2;4;3;1;2;4;4;6;2;2;;;;;;;;;;;;;;;6;6;6;2;6;4;1;4;4;2;2;3;1;1;5;4;4;;1;1;5;;4;;5;;5;;;4;4;4;4;4;1;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;50;USA;4;1;1;35;1;1;1;0;1;1;2;2;7;6;7;7;6;2;2;7;1;1;5;2;2;1;;;;;;5;2;2;2;7;2;4;2;FarmVille. Candy Crush.;5;5;2;2;4;2;2;4;2;5;2;2;2;2;2;5;4;;1;1;2;I think they can be insensitive;3;I feel bad at people are laughing about something that is killing people;2;Insensitivity;3;They make people laugh and might take their mind off their isolation;;2;1;2;2;1;1;1;2;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;28;Colombia;5;1;3;15;2;1;1;0;1;1;4;2;2;5;1;1;5;2;4;5;1;6;1;6;5;1;;;;;;1;1;1;1;1;1;1;1;Aventura;2;2;5;2;5;1;1;4;1;1;1;1;1;1;1;2;4;Redes sociales, tecnología y medios de comunicación me han ayudado a obtener información confiable siempre que las fuentes oficiales y otras que considero confiables  (profesionales, por ejemplo) comparten información. A mi juicio, los medios de comunicación y las tecnologías actuales permiten tener información actualizada y oportuna, aunque pueden desinformar si no se sabe la capacidad de seleccionar el tipo de información que acepta la persona que las consulta.;1;2;;;3;Son graciosos, ayudan a distraerse;;;;;;2;2;4;3;4;4;4;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;31;Thailand;5;1;2;21;3;1;1;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;2;;2;2;;;;;;;;;;2;2;2;2;2;2;1;7;0;0;0;1;0
1;1;1;1;2;39;Colombia;4;2;1;36;4;1;1;0;0;1;3;4;1;6;1;1;5;3;4;4;2;5;2;5;1;1;;;;;;;;;;;;;;;2;2;2;1;2;2;2;1;1;1;2;2;2;2;5;3;1;Hemos vivido la cuarentena en familia y realizando diversas actividades formativas y de ocio.;2;2;;;;;;;;;Uso internet para enviar tareas, trabajos, cursos virtuales y temas de interes.;1;2;1;2;1;2;1;3;0;0;0;1;0
1;1;1;1;1;41;Thailand;8;1;3;30;2;1;1;1;1;1;2;4;2;3;2;1;6;3;5;2;2;5;2;4;2;2;5;4;5;3;2;4;3;5;4;3;2;3;2;Mmorpg;3;4;4;2;4;4;2;2;2;2;2;2;2;2;4;3;2;;2;2;;;;;;;;;;1;1;2;1;1;1;1;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;23;Colombia;3;2;1;33;3;1;1;1;1;1;1;4;3;6;1;3;6;6;3;3;3;6;3;6;3;3;6;3;3;3;3;4;3;4;3;3;1;1;1;;4;4;4;3;4;4;1;4;3;3;7;4;4;3;3;4;3;;1;1;3;Es divertido;3;Me ayudas disminuir el impacto o la atención sobre el virus;3;;3;;;1;1;2;2;2;2;1;3;0;0;0;1;0
1;1;1;1;2;;Colombia;2;2;2;39;6;1;1;1;1;1;7;7;7;7;7;7;1;1;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;;1;1;1;1;1;7;7;1;7;7;7;3;7;7;1;3;7;;1;1;1;;1;;1;;5;;;1;4;2;1;1;4;1;3;0;0;0;1;0
1;1;1;1;1;18;Colombia;3;2;4;29;5;1;1;0;0;1;3;2;2;3;3;2;5;2;4;1;2;1;5;2;5;4;;;;;;;;;;;;;;;6;1;5;2;2;2;2;6;5;5;4;3;7;7;7;2;6;;1;1;2;Porque pensar en el covid me genera nerviosismo y un poco de ansiedad.;3;Porque es bueno reírse un poco de las adversidades y los malos momentos.;3;Para compartir el mensaje con tono de risa.;5;Porque comparto lo que sea que me guste.;;2;4;2;1;1;2;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;37;Colombia;5;1;3;35;2;1;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;24;Colombia;4;2;4;64;6;1;1;0;0;0;1;2;2;4;1;1;2;2;3;1;1;2;5;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;4;6;5;4;5;1;5;;2;2;;;;;;;;;;3;3;4;4;2;4;1;3;0;0;0;1;0
1;1;1;1;2;23;Thailand;8;1;1;40;1;1;0;0;0;1;6;6;6;5;1;4;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;2;6;5;1;3;3;4;1;1;1;6;3;4;4;;1;2;;;2;???????????????????????????;;;;;;2;2;3;3;3;2;3;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
